Location,County,Comments,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL,Repeater Call,DFWHRIG_Comments,DFWHRIG_Name
1,Collin,McKinney,McKinn74,146.74,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,McKin.74,MARC,CI6740
2,Collin,McKinney,McKinn35,145.35,-,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,McKin.35,N5GI,CI5350
6,Collin,Plano,Plano.18,147.18,+,0.6,Tone,107.2,88.5,23,NN,FM,5,,,-1,,,,Plano.18,PARK VHF,CI7180
7,Collin,Plano,Plano250,444.25,+,5,Tone,79.7,88.5,23,NN,FM,25,,,-1,,,,K5PRK pl,PARK UHF,CI4250
10,Collin,Frisco,Frsco700,443.7,+,5,,88.5,88.5,23,NN,FM,25,,,,,,,,,
11,Collin,Celina,Celin512,444.5,+,5,Tone,123,88.5,23,NN,FM,25,,,-1,,,,KE5UT ce,Celina,CI45125
12,Collin,Melissa,Melis200,443.2,+,5,Tone,100,88.5,23,NN,FM,25,,,-1,,,,W5MRA me,MERA UHF,CI3200
18,Dallas,Carrollton,Carrol21,145.21,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,N5MJQ ca,MARS,DA5210
19,Dallas,Carrollton,Crltn650,442.65,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,N5MJQ ca,Carrollt,DA2650
20,Dallas,Carrollton/Dallas?,Crltn075,444.075,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,DA4075,CARROLLT,DA4075
21,Dallas,Cedar Hill,CdrHl400,442.4,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,W5MAY ch,CedarHil,DA2400
22,Dallas,Dallas,Dallas19,145.19,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,KA5CTNda,KA5CTN,DA5190
23,Dallas,Dallas,Dallas64,146.64,-,0.6,Tone,118.8,88.5,23,NN,FM,5,,,-1,,,,K5AHT da,K5AHT,DA6640
24,Dallas,Dallas,Dallas70,146.7,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5EBQ da,W5EBQ,DA6700
25,Dallas,Dallas,Dallas88,146.88,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5FC  da,Dal-Pri,DA6880
26,Dallas,Dallas,Dallas96,146.96,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5JD  da,Dal-Sec,DA6960
27,Dallas,Dallas,Dalls925,441.925,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,W5EBQ da,W5EBQ,DA1925
28,Dallas,Garland,Garlnd66,146.66,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5QHD ga,Garland,DA6660
29,Dallas,Garland,Grlnd700,442.7,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,K5QHD ga,GARLAND,DA2700
30,Dallas,Irving,Irving72,146.72,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,WA5CKFir,Irving,DA6720
31,Dallas,Mesquite,Mesqui31,145.31,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,WJ5J  ms,Mesquite,DA5310
32,Dallas,Mesquite,Mesqui04,147.04,+,0.6,Tone,136.5,88.5,23,NN,FM,5,,,-1,,,,KD6FWDms,Mesquite,DA7040
33,Dallas,Mesquite,Mesqt625,442.625,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,AK5DX ms,Mesquite,DA2625
34,Dallas,Richardson,Rchdsn12,147.12,+,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,K5RWK ri,Rich,DA7120
35,Dallas,Richardson UTD,Rchds800,442.8,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,W5VV  ri,UTD,DA2800
36,Dallas,Richardson,Rchds025,444.025,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,WX5O  ri,WX5O,DA4025
45,Denton,The Colony,Colony38,147.38,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5LRK co,LAARK,DN7380
46,Denton,Denton,Denton17,145.17,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5FKN de,Den-Sec,DN5170
47,Denton,Denton,Denton92,146.92,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5NGU de,Den-Pri,DN6920
48,Denton,Denton,Dentn325,441.325,+,5,Tone,88.5,88.5,23,NN,FM,25,,,-1,,,,W5NGU de,Denton,DN1325
49,Denton,Denton,Dentn525,443.525,+,5,Tone,118.8,88.5,23,NN,FM,25,,,-1,,,,WA5LIEde,Denton,DN3525
50,Denton,Denton,Dentn050,444.05,+,5,Tone,110.9,88.5,23,NN,FM,25,,,-1,,,,W5NGU de,DENTON,DN4050
56,Grayson,Sherman,Shermn00,147,+,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,W5RVT sh,Gray-Pri,GS7000
57,Grayson,Sherman,Shermn08,147.08,+,0.6,Tone,88.5,88.5,23,NN,FM,5,S,,,,,,,,
58,Grayson,Collinsville,Clnsvl22,147.22,+,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,N5IUF cv,COLLINSV,GS7220
59,Grayson,Sherman,Shermn28,147.28,+,0.6,Tone,107.2,88.5,23,NN,FM,5,,,-1,,,,W5COP sh,Gray-Sec,GS7280
60,Grayson,Sherman,Shrmn750,444.75,+,5,Tone,100,88.5,23,NN,FM,25,,,-1,,,,W5RVT sh,Grayson UHF,GS4750
64,Fannin,Bonham,Bonham13,145.13,+,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,,,
65,Fannin,Bonham,Bonham47,145.47,-,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,K5FRC bo,Fannin,FN5470
68,Hunt,Greenville,Grnvil78,146.78,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,,-1,,,,K5GVL gv,Hunt-V,HU6780
69,Hunt,Greenville,Grnvil16,147.16,,0,,88.5,88.5,23,NN,FM,5,S,,,,,,,,
72,Rockwall,Rockwall,Rckwl525,441.525,+,5,Tone,141.3,88.5,23,NN,FM,25,,,-1,,,,KK5PP rw,Rock-U,RW1525
77,Tarrant,Ft Worth,FtWrth11,145.11,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,FtWth.11,NW-TARRA,TA5110
78,Tarrant,Ft Worth,FtWrth68,146.68,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5URH fw,SW-TARRA,TA6680
79,Tarrant,Ft Worth,FtWrth76,146.76,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5FTW fw,,TA6760
80,Tarrant,Ft Worth,FtWrth94,146.94,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5FTW fw,Ftworth,TA6940
81,Tarrant,Hurst,Hurst.10,147.1,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5HRC hu,,TA7100
82,Tarrant,Arlington,Arlngt14,147.14,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,K5SLD ar,E-TARRA,TA7140
86,Wise,Boyd,Boyd.98,146.98,-,0.6,Tone,192.8,88.5,23,NN,FM,5,,,-1,,,,K5JEJ bd,BOYD,WS6980
87,Cooke,Gainesville,Gnsvll34,147.34,+,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,,,
88,Cooke,Gainesville,Gnsvl775,442.775,+,5,Tone,100,88.5,23,NN,FM,25,,,-1,,,,WB5FHIgn,GAINESVI,CO2775
89,Cooke,Rosston,Rosstn49,145.49,-,0.6,Tone,85.4,88.5,23,NN,FM,5,,,-1,,,,WD5U  ro,,CK5490
90,Lamar,Paris,PARIS,146.76,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,,-1,,,,,,
91,Lamar,Paris,PARIS4,442.125,+,5,Tone,151.4,88.5,23,NN,FM,25,,,-1,,,,,,
92,Parker,Weatherford,Wthrfd04,147.04,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,W5URH we,,PR7040
95,,COMMERCE,Commrc49,145.49,-,0.6,Tone,167.9,88.5,23,NN,FM,5,,,-1,,,,HU5490,COMMERCE,HU5490
96,,DECATU,Decatr78,146.78,-,0.6,Tone,131.8,88.5,23,NN,FM,5,,,-1,,,,WS6780,DECATU,WS6780
97,,Kaufman,Kaufmn98,146.98,-,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,N5RSE ka,,KF6980
101,SIMPLEX,2M Calling,Call2M,146.52,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.52,146.52
102,SIMPLEX,70cm Calling,Call70cm,446,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,446.1,446.1
103,SIMPLEX,145.6,SIMPLEX,145.6,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,145.46,145.46
104,SIMPLEX,145.7,SIMPLEX,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,145.6,145.6
105,SIMPLEX,146.48,SIMPLEX,146.48,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,145.7,145.7
106,SIMPLEX,146.52,SIMPLEX,146.52,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.4,146.4
107,SIMPLEX,146.54,SIMPLEX,146.54,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.48,146.48
108,SIMPLEX,146.56,SIMPLEX,146.56,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.5,146.5
109,SIMPLEX,146.58,SIMPLEX,146.58,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.52,146.52
110,SIMPLEX,147.42,SIMPLEX,147.42,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.54,146.54
111,SIMPLEX,147.44,SIMPLEX,147.44,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.56,146.56
112,SIMPLEX,147.5,SIMPLEX,147.5,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,146.58,146.58
121,SIMPLEX,147.42,SIMPLEX,147.42,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.42,147.42
122,SIMPLEX,147.44,SIMPLEX,147.44,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.44,147.44
123,SIMPLEX,147.51,SIMPLEX,147.51,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.51,147.51
124,SIMPLEX,147.52,SIMPLEX,147.52,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.52,147.52
125,SIMPLEX,147.55,SIMPLEX,147.55,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.55,147.55
126,SIMPLEX,147.56,SIMPLEX,147.56,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.56,147.56
127,SIMPLEX,147.58,SIMPLEX,147.58,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,147.58,147.58
128,SIMPLEX,444.6,SIMPLEX,444.6,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,444.6,444.6
129,SIMPLEX,445,SIMPLEX,445,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,445,445
130,SIMPLEX,445.5,SIMPLEX,445.5,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,445.5,445.5
131,SIMPLEX,446.1,SIMPLEX,446.1,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,446.1,446.1
132,SIMPLEX,446.5,SIMPLEX,446.5,,5,,88.5,88.5,23,NN,FM,25,,,-1,,,,SIMPLEX,446.5,446.5
141,,WinLink,WL2KCent,145.03,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,WIN910,WIN910,WIN910
142,,WinLink,WL2KNW,144.91,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,WIN930,WIN930,WIN930
143,,WinLink,WL2KNE,144.93,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,WIN950,WIN950,WIN950
144,,WinLink,WL2KSW,144.95,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,WIN970,WIN970,WIN970
145,,WinLink,WL2KSE,144.97,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,WIN990,WIN990,WIN990
161,APRS,APRS-PRI,APRSpVA,144.39,,0.6,TSQL,88.5,100,23,NN,FM,5,,,-1,,,,APRS-PRI,APRS-PRI,APRS-PRI
162,APRS,APRS-PRI,APRSpRaw,144.39,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,APRS-PRI,APRS-PRI,APRS-PRI
163,APRS,APRS-PRI,APRSpQui,144.39,,0.6,TSQL,88.5,123,23,NN,FM,5,,,-1,,,,APRS-PRI,APRS-PRI,APRS-PRI
164,APRS,APRS-SEC,APRSsVA,144.34,,0.6,TSQL,88.5,100,23,NN,FM,5,,,-1,,,,APRS-SEC,APRS-SEC,APRS-SEC
165,APRS,APRS-SEC,APRSsRaw,144.34,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,APRS-SEC,APRS-SEC,APRS-SEC
166,APRS,APRS-SEC,APRSsQui,144.34,,0.6,TSQL,88.5,123,23,NN,FM,5,,,-1,,,,APRS-SEC,APRS-SEC,APRS-SEC
181,Taylor,Abilene,Abilen35,145.35,-,0.6,Tone,110.9,88.5,23,NN,FM,5,,,-1,,,,KC5PPIab,,
182,Taylor,Abilene,Abilen49,145.49,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,-1,,,,KI5ZS ab,,
183,Taylor,Abilene,Abilen76,146.76,-,0.6,Tone,146.2,88.5,23,NN,FM,5,,,-1,,,,KC5OLOab,,
184,Taylor,Abilene,Abilen80,146.8,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,-1,,,,W5TNJ ab,,
185,Taylor,Abilene,Abilen96,146.96,-,0.6,Tone,146.2,88.5,23,NN,FM,5,,,-1,,,,KC5OLOab,,
199,N/A,Version,v150422,145.46,,0.6,,88.5,88.5,23,NN,FM,5,,,-1,,,,SIMPLEX,145.46,145.46
